                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0564,                 5.5824,                 4.8178,                  4.086,                0.00079,                0.24913,                0.02011,                0.00488,                 0.0002,                0.05001,                0.00594,                0.00064,                  2.517,                 4.8141,                 4.9116,                 4.0118,             0.00046998,             0.00046998,             0.00046998
                      2,                 2.8247,                 3.2736,                 4.1908,                 3.3939,                0.23035,                0.05818,                0.02806,                0.01009,                0.23367,                0.02484,                0.02195,                0.01291,                 2.9863,                 37.364,                 12.534,                 5.3507,             0.00094163,             0.00094163,             0.00094163
                      3,                 2.4902,                 2.8791,                 3.6164,                 2.9504,                0.13669,                0.06185,                0.04103,                 0.0168,                0.14613,                0.06433,                0.04529,                0.02169,                 2.2986,                 5.8306,                 4.1277,                 3.2047,              0.0014086,              0.0014086,              0.0014086
                      4,                 2.1676,                 2.7073,                 3.0195,                 2.6266,                0.20368,                0.31339,                0.20392,                 0.0962,                0.20935,                0.31967,                0.20315,                0.12365,                 1.8039,                 2.5173,                 3.0312,                 2.4175,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.8596,                 2.4646,                 2.5831,                 2.3392,                0.32496,                0.52532,                0.28042,                0.15887,                0.33176,                0.53186,                0.28623,                0.16778,                 1.4925,                 2.5529,                  2.884,                 2.1198,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.6823,                 2.3262,                 2.2998,                 2.1346,                0.32224,                0.56796,                0.33285,                0.19734,                 0.3174,                 0.5735,                 0.3234,                0.21258,                 1.3902,                 2.2254,                 2.2421,                 1.9247,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.6224,                 2.2575,                 2.2137,                  2.055,                0.29552,                0.54072,                0.34424,                0.20796,                0.29681,                0.56883,                 0.3476,                0.22691,                 1.3769,                 2.0882,                 2.4945,                 1.9865,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.5162,                 2.1344,                  2.077,                 1.9362,                 0.4163,                0.57733,                 0.4064,                0.24889,                0.41598,                0.57421,                0.39998,                0.26551,                 1.3845,                 2.0921,                 1.9451,                 1.8971,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.4617,                 2.0589,                 1.9821,                 1.8921,                0.41482,                0.54603,                0.42358,                0.27412,                0.41482,                0.54603,                0.42071,                0.29184,                 1.2995,                 2.0524,                 1.9118,                 1.8872,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.3929,                  1.994,                 1.9262,                 1.8083,                0.41837,                 0.6628,                  0.454,                0.31037,                0.42299,                0.65681,                0.45139,                0.31956,                 1.1229,                 1.9121,                 1.9209,                 1.7116,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.3568,                 1.9503,                 1.8644,                 1.7716,                0.40082,                 0.6168,                0.41727,                 0.2904,                0.40185,                  0.621,                0.41465,                0.29946,                 1.1475,                 1.9611,                 1.7822,                 1.6612,              0.0013653,              0.0013653,              0.0013653
                     12,                  1.317,                 1.9427,                 1.8322,                 1.7471,                0.45173,                0.66717,                0.52716,                 0.3733,                0.46602,                0.66739,                0.52913,                0.38437,                 1.1326,                   1.85,                 1.7793,                 1.6797,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.2742,                 1.8488,                 1.7971,                 1.7036,                0.45125,                0.59686,                0.48074,                0.33958,                0.44602,                0.58887,                0.47015,                0.35933,                 1.1314,                 1.7703,                  1.778,                 1.6687,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.2306,                 1.9125,                 1.7075,                 1.6672,                0.42714,                0.59256,                0.45867,                0.31524,                0.40837,                0.65096,                0.44883,                0.33293,                 1.1758,                 1.8356,                 1.7589,                 1.7504,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.2082,                 1.8068,                 1.7068,                  1.629,                0.43143,                0.64515,                0.49864,                0.35573,                0.42944,                0.63584,                0.48658,                0.36721,                 1.0346,                 1.7582,                 1.6184,                 1.6039,               0.001337,               0.001337,               0.001337
                     16,                 1.2247,                   1.84,                 1.7454,                 1.6467,                0.41634,                 0.7433,                 0.4779,                0.33721,                0.40701,                0.72732,                0.46293,                 0.3368,                 1.0562,                 1.8657,                  1.624,                 1.5567,                0.00133,                0.00133,                0.00133
                     17,                 1.1904,                 1.8105,                 1.6617,                 1.6093,                0.42069,                0.58429,                0.44173,                0.30312,                0.38985,                0.67015,                0.42935,                0.31034,                 1.1076,                 1.8354,                 1.6693,                 1.6198,              0.0013229,              0.0013229,              0.0013229
                     18,                  1.161,                  1.777,                 1.6508,                 1.5916,                0.41917,                 0.7093,                0.44383,                0.32539,                0.42073,                0.68704,                0.44082,                0.33414,                 0.9827,                  1.861,                  1.627,                 1.5241,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.1356,                  1.759,                 1.5905,                 1.5594,                0.34196,                 0.6822,                0.36239,                0.25544,                0.33924,                0.66865,                0.35714,                0.26949,                 1.2134,                 1.9602,                 2.0531,                 1.7156,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.1696,                  1.808,                 1.6297,                 1.5946,                0.50324,                0.72606,                0.55388,                0.39967,                0.49331,                0.71522,                0.53417,                0.39986,                0.94465,                 1.6141,                  1.466,                 1.4732,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.1208,                 1.7252,                 1.5976,                 1.5494,                0.40837,                0.77866,                0.42229,                0.30611,                0.40592,                0.77067,                0.41512,                0.31853,                0.95808,                 1.7054,                 1.5251,                 1.4845,              0.0012946,              0.0012946,              0.0012946
                     22,                  1.116,                 1.7095,                 1.5363,                 1.5456,                0.53531,                0.70698,                0.59004,                0.43313,                0.53032,                0.70442,                0.57926,                0.43407,                0.90909,                 1.6379,                 1.3728,                 1.4643,              0.0012875,              0.0012875,              0.0012875
                     23,                   1.13,                 1.6754,                 1.5116,                 1.5452,                0.51028,                0.70496,                0.57857,                0.42291,                0.50366,                0.70818,                0.56231,                0.41685,                0.93368,                 1.6895,                 1.3771,                 1.4955,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.1027,                 1.6784,                 1.5259,                 1.5194,                0.52627,                0.76019,                0.57531,                0.41692,                0.52335,                0.71505,                0.55413,                0.41482,                0.92293,                 1.7307,                 1.3334,                 1.4682,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.0345,                 1.7006,                 1.4802,                 1.4846,                0.48098,                0.73849,                0.52814,                0.37614,                0.48233,                0.72862,                0.51826,                0.37855,                0.93778,                 1.6599,                 1.4292,                 1.4992,              0.0012663,              0.0012663,              0.0012663
                     26,                  1.065,                  1.629,                 1.5055,                 1.5128,                0.46539,                 0.7442,                0.52478,                0.38392,                0.45891,                0.73805,                0.51038,                0.37969,                0.94667,                 1.6626,                 1.3684,                  1.498,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.0763,                 1.7119,                 1.5167,                 1.5171,                0.48322,                0.71344,                0.56787,                0.41888,                0.47231,                0.70083,                 0.5501,                0.41148,                0.94461,                 1.6807,                  1.364,                 1.4975,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.0252,                 1.6306,                 1.4463,                 1.4683,                 0.4748,                0.66158,                0.52084,                0.37923,                0.46967,                0.65383,                0.51743,                0.38733,                0.99663,                  1.717,                 1.4362,                 1.5115,              0.0012451,              0.0012451,              0.0012451
                     29,                 1.0682,                 1.6538,                 1.4553,                 1.4993,                0.50581,                0.71442,                0.61683,                0.44056,                0.49592,                0.70424,                0.59381,                0.44301,                0.92425,                 1.5906,                 1.3284,                 1.4491,               0.001238,               0.001238,               0.001238
                     30,                 1.0297,                 1.6373,                 1.4545,                 1.4833,                0.45915,                0.76713,                0.50578,                0.37776,                0.45345,                0.75671,                0.49639,                0.37693,                0.92682,                   1.69,                 1.3636,                  1.495,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.0299,                 1.5988,                 1.4404,                 1.4775,                0.48751,                0.69814,                0.57263,                0.43605,                0.47887,                0.68577,                0.55805,                0.43683,                0.90132,                 1.6599,                 1.2793,                 1.4338,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.0275,                 1.5862,                 1.4134,                 1.4745,                0.51127,                0.59318,                0.52127,                0.37359,                0.49098,                 0.5832,                0.49669,                0.35009,                0.95375,                 2.0155,                 1.4802,                 1.5151,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.0111,                 1.5968,                 1.4436,                 1.4704,                0.50849,                0.67403,                0.55975,                0.43305,                0.50496,                0.66847,                 0.5471,                0.41999,                0.88639,                 1.7431,                 1.3301,                 1.4693,              0.0012097,              0.0012097,              0.0012097
                     34,                 0.9888,                 1.6198,                 1.3951,                 1.4444,                0.52125,                0.69224,                0.58038,                0.41052,                0.51252,                0.68323,                 0.5602,                0.41307,                0.96138,                 1.7556,                 1.3758,                 1.4764,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.0051,                 1.6062,                  1.396,                 1.4448,                0.54292,                0.72443,                0.57987,                0.42003,                0.53252,                0.71425,                0.57022,                0.42133,                0.95023,                 1.6542,                 1.3183,                 1.4923,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.0012,                  1.634,                 1.3972,                 1.4531,                 0.4892,                0.70771,                0.54399,                0.41163,                 0.4832,                0.69729,                0.52945,                0.40542,                0.88977,                 1.6298,                 1.2628,                 1.4307,              0.0011885,              0.0011885,              0.0011885
                     37,                0.96999,                 1.5168,                  1.397,                  1.423,                0.48952,                0.76238,                0.54829,                0.41145,                 0.4781,                0.74992,                0.53469,                0.41619,                0.86057,                 1.6094,                 1.2629,                 1.4529,              0.0011814,              0.0011814,              0.0011814
                     38,                0.99033,                 1.5369,                  1.412,                 1.4473,                0.49843,                 0.6855,                0.58081,                0.42217,                0.46432,                0.68021,                0.55816,                0.41019,                0.86205,                 1.6887,                 1.3265,                  1.422,              0.0011744,              0.0011744,              0.0011744
                     39,                 0.9866,                 1.6028,                 1.3884,                 1.4333,                0.52425,                0.70033,                0.59776,                0.44473,                  0.529,                0.70713,                0.59181,                0.43415,                0.89345,                  1.834,                 1.2332,                 1.4378,              0.0011673,              0.0011673,              0.0011673
                     40,                0.98505,                 1.5789,                 1.3831,                 1.4453,                0.52483,                0.73603,                0.60365,                 0.4462,                0.48954,                0.73906,                0.58334,                0.43881,                 0.8457,                  1.672,                  1.248,                 1.4162,              0.0011602,              0.0011602,              0.0011602
                     41,                0.96231,                 1.6136,                 1.3509,                   1.41,                0.54146,                0.66835,                 0.6111,                0.46623,                0.55229,                0.64405,                0.60003,                0.46134,                0.81479,                 1.5734,                 1.2232,                 1.3796,              0.0011531,              0.0011531,              0.0011531
                     42,                0.95288,                 1.5611,                 1.3447,                 1.4045,                0.51591,                0.69249,                0.59429,                0.44873,                0.50451,                0.68229,                0.57303,                0.43475,                0.82645,                 1.6025,                 1.2568,                 1.3772,              0.0011461,              0.0011461,              0.0011461
                     43,                0.92104,                 1.5057,                 1.3501,                 1.3946,                0.49252,                0.73737,                0.57979,                0.43653,                0.47776,                0.71817,                0.56618,                0.42601,                0.81617,                 1.5862,                 1.2488,                 1.3667,               0.001139,               0.001139,               0.001139
                     44,                0.91257,                 1.4923,                 1.3198,                 1.3771,                 0.5264,                0.68813,                0.58274,                0.44272,                0.52739,                0.65552,                0.56957,                0.43673,                0.83946,                 1.6427,                 1.3034,                 1.3688,              0.0011319,              0.0011319,              0.0011319
                     45,                0.92569,                 1.5143,                 1.3057,                 1.3767,                0.51682,                0.74638,                0.61725,                0.46257,                0.52873,                0.72357,                0.60663,                0.46753,                0.84587,                 1.6202,                 1.2244,                  1.405,              0.0011248,              0.0011248,              0.0011248
                     46,                0.91174,                 1.5171,                 1.3278,                 1.3765,                0.51036,                0.75422,                0.61882,                0.45606,                0.49543,                0.74374,                0.59016,                0.44855,                0.84418,                 1.6532,                  1.212,                 1.3956,              0.0011178,              0.0011178,              0.0011178
                     47,                0.89787,                  1.565,                 1.3008,                 1.3514,                0.53656,                0.70328,                0.63499,                0.46491,                0.52686,                 0.6967,                0.62917,                0.46933,                0.83946,                 1.6274,                 1.1743,                 1.3767,              0.0011107,              0.0011107,              0.0011107
                     48,                0.91498,                 1.5428,                   1.33,                 1.3724,                0.56965,                0.69763,                0.63822,                0.47094,                 0.5579,                0.68967,                0.62152,                0.46838,                0.88676,                 1.5977,                 1.1708,                 1.4445,              0.0011036,              0.0011036,              0.0011036
                     49,                0.92565,                 1.5129,                 1.3111,                 1.3827,                 0.4923,                0.71628,                0.56933,                0.43983,                0.48372,                0.71574,                0.56103,                0.43599,                0.81302,                 1.5604,                 1.2145,                  1.364,              0.0010965,              0.0010965,              0.0010965
                     50,                 0.9206,                  1.482,                 1.3146,                  1.373,                0.53477,                 0.6832,                0.55405,                0.42665,                0.53083,                0.67833,                0.54622,                0.41386,                 0.8258,                 1.7273,                 1.3051,                 1.4037,              0.0010895,              0.0010895,              0.0010895
                     51,                0.92557,                 1.5452,                 1.3034,                 1.3827,                0.54305,                0.73244,                0.62294,                0.47238,                0.53297,                0.72863,                0.60729,                0.47106,                0.83243,                 1.5404,                 1.1352,                 1.3812,              0.0010824,              0.0010824,              0.0010824
                     52,                0.90884,                 1.5471,                 1.3184,                 1.3801,                0.52628,                0.72635,                 0.5898,                0.46499,                0.51966,                0.71617,                0.57459,                0.45694,                0.78406,                 1.6446,                 1.1797,                 1.3577,              0.0010753,              0.0010753,              0.0010753
                     53,                0.88278,                 1.5082,                 1.2913,                 1.3442,                0.51629,                0.62082,                0.56183,                0.40828,                0.50771,                0.61283,                0.54402,                0.39142,                0.96142,                 1.8978,                 1.3796,                 1.4688,              0.0010682,              0.0010682,              0.0010682
                     54,                0.88273,                 1.4786,                 1.2902,                 1.3612,                0.55526,                 0.7346,                 0.6047,                0.46782,                0.54859,                0.72556,                0.59978,                0.46347,                0.79879,                 1.6551,                 1.1209,                  1.363,              0.0010612,              0.0010612,              0.0010612
                     55,                0.89573,                 1.4876,                 1.2596,                 1.3596,                0.47856,                0.76381,                0.60541,                0.45574,                0.46632,                0.74461,                0.58122,                0.44771,                 0.8087,                 1.5759,                  1.241,                  1.394,              0.0010541,              0.0010541,              0.0010541
                     56,                0.87574,                 1.4583,                  1.302,                 1.3538,                0.54207,                0.73545,                0.62925,                0.47949,                0.53669,                0.71774,                0.62021,                0.47736,                0.81309,                 1.5217,                 1.1293,                 1.3631,               0.001047,               0.001047,               0.001047
                     57,                0.87523,                 1.4905,                 1.2885,                   1.34,                0.50747,                  0.706,                0.60596,                0.45816,                0.49884,                0.69328,                0.58659,                0.44533,                0.79063,                 1.5841,                 1.2482,                 1.3599,                0.00104,                0.00104,                0.00104
                     58,                0.89313,                 1.5546,                 1.3061,                  1.348,                0.52315,                0.72725,                0.61623,                0.47635,                0.51547,                0.71481,                0.59771,                0.46167,                0.77864,                 1.6061,                 1.1365,                 1.3339,              0.0010329,              0.0010329,              0.0010329
                     59,                0.90264,                 1.4946,                 1.2977,                 1.3573,                0.49996,                0.74581,                0.60853,                0.47003,                0.49762,                0.71635,                 0.6164,                0.46271,                0.80596,                  1.654,                 1.1898,                 1.3637,              0.0010258,              0.0010258,              0.0010258
                     60,                0.89405,                 1.4894,                 1.2669,                 1.3516,                0.52233,                0.72151,                0.61387,                0.45804,                 0.5147,                0.71132,                0.59908,                0.45173,                0.81828,                 1.5413,                 1.1901,                 1.3432,              0.0010187,              0.0010187,              0.0010187
                     61,                0.87064,                 1.4241,                 1.2654,                 1.3354,                0.52367,                0.77233,                0.63421,                0.48293,                0.52286,                0.76971,                0.62278,                0.48343,                0.80069,                 1.5853,                 1.1126,                 1.3654,              0.0010117,              0.0010117,              0.0010117
                     62,                0.84037,                 1.5718,                 1.2406,                 1.3249,                0.50616,                0.72546,                0.60955,                0.45084,                0.49298,                0.71182,                0.59141,                0.44145,                0.81204,                 1.6743,                 1.1841,                 1.3705,              0.0010046,              0.0010046,              0.0010046
                     63,                0.87267,                 1.4204,                 1.2604,                 1.3425,                0.51382,                0.71448,                0.60686,                0.46094,                 0.4944,                0.71432,                0.60327,                0.45589,                0.79554,                 1.5857,                 1.2358,                 1.3312,             0.00099751,             0.00099751,             0.00099751
                     64,                0.89791,                 1.4756,                 1.2761,                 1.3569,                0.53606,                0.72497,                0.62166,                0.47167,                0.51951,                0.70946,                0.60932,                0.45927,                 0.7892,                 1.5606,                 1.1196,                 1.3512,             0.00099044,             0.00099044,             0.00099044
                     65,                0.84286,                 1.4052,                 1.2296,                 1.3374,                0.55434,                0.68006,                0.58585,                0.45779,                0.54314,                0.66489,                0.56838,                0.44899,                0.77973,                 1.6066,                 1.1562,                 1.3543,             0.00098337,             0.00098337,             0.00098337
                     66,                0.86821,                 1.4462,                 1.2442,                 1.3414,                0.50291,                0.76065,                0.59025,                 0.4518,                0.49174,                0.75239,                0.58191,                0.45065,                 0.8201,                 1.7106,                  1.154,                 1.3845,             0.00097629,             0.00097629,             0.00097629
                     67,                0.85774,                 1.3794,                 1.2416,                 1.3172,                0.51925,                0.72427,                0.61711,                0.46913,                 0.5126,                0.71433,                0.61023,                0.46072,                0.75839,                 1.5853,                 1.1906,                 1.3292,             0.00096922,             0.00096922,             0.00096922
                     68,                0.86825,                 1.4743,                 1.2449,                 1.3491,                0.55382,                0.73857,                0.62031,                0.47216,                0.53845,                0.73127,                0.60205,                0.46003,                0.81309,                 1.6418,                 1.1371,                 1.3675,             0.00096215,             0.00096215,             0.00096215
                     69,                0.88902,                  1.471,                  1.264,                 1.3535,                0.55541,                0.69194,                0.59007,                0.45862,                0.54577,                0.67956,                0.57925,                0.45223,                 0.7837,                  1.695,                 1.1266,                 1.3398,             0.00095507,             0.00095507,             0.00095507
                     70,                0.87319,                 1.4427,                 1.2155,                 1.3293,                0.55287,                0.70796,                0.63299,                0.47245,                0.53233,                0.69256,                0.61803,                0.46042,                0.78921,                 1.5933,                 1.1218,                 1.3157,               0.000948,               0.000948,               0.000948
                     71,                 0.8612,                 1.4258,                 1.2184,                 1.3207,                0.51506,                0.72674,                 0.6044,                0.45923,                0.50781,                0.71631,                0.59344,                0.45352,                0.80336,                 1.5921,                 1.1457,                 1.3439,             0.00094093,             0.00094093,             0.00094093
                     72,                0.83809,                 1.3953,                 1.2175,                 1.3092,                0.48974,                0.73211,                0.59586,                0.46014,                0.49038,                0.70955,                0.58879,                0.44551,                0.76294,                  1.572,                 1.1841,                  1.331,             0.00093385,             0.00093385,             0.00093385
                     73,                0.85624,                 1.3967,                 1.2539,                  1.339,                0.51659,                0.70296,                0.60178,                0.46683,                0.51494,                0.69199,                0.59241,                0.45071,                 0.7519,                 1.5532,                  1.195,                 1.3254,             0.00092678,             0.00092678,             0.00092678
                     74,                0.83224,                 1.3862,                 1.2141,                 1.3119,                0.52883,                0.70985,                0.61891,                0.48829,                0.51603,                0.70164,                0.61301,                0.47653,                0.76364,                 1.6158,                  1.123,                 1.3155,              0.0009197,              0.0009197,              0.0009197
                     75,                0.80344,                 1.3874,                 1.1741,                 1.2894,                0.53179,                0.72051,                0.61563,                0.48228,                0.52449,                0.69073,                  0.615,                0.47724,                0.76798,                 1.4965,                 1.1026,                 1.3445,             0.00091263,             0.00091263,             0.00091263
                     76,                0.83691,                 1.4149,                  1.231,                 1.2985,                0.50189,                0.75941,                0.61036,                0.46085,                0.49168,                0.74526,                0.60129,                0.45943,                 0.8463,                 1.6311,                 1.1805,                 1.3698,             0.00090556,             0.00090556,             0.00090556
                     77,                 0.8296,                 1.3806,                 1.2017,                 1.2879,                0.50543,                0.70874,                0.61639,                0.47363,                0.49349,                0.69394,                0.60318,                0.45838,                 0.7837,                  1.628,                 1.1621,                 1.3223,             0.00089848,             0.00089848,             0.00089848
                     78,                0.81731,                 1.4871,                 1.1775,                 1.2942,                0.46837,                0.77783,                0.57528,                0.44335,                0.46101,                0.76522,                0.57322,                0.43683,                0.77536,                 1.4903,                 1.1067,                 1.3321,             0.00089141,             0.00089141,             0.00089141
                     79,                0.82312,                 1.3951,                 1.2106,                 1.3069,                0.51039,                0.71417,                 0.5913,                0.43929,                0.49734,                  0.696,                0.56971,                0.43012,                0.78906,                 1.5688,                 1.1953,                 1.3438,             0.00088434,             0.00088434,             0.00088434
                     80,                 0.8179,                 1.4191,                 1.1907,                 1.3006,                0.51324,                0.75776,                0.60305,                0.46768,                0.54905,                0.66229,                0.59114,                 0.4494,                0.73974,                 1.5412,                  1.116,                 1.3009,             0.00087726,             0.00087726,             0.00087726
                     81,                0.82197,                 1.3949,                 1.1837,                 1.3049,                0.51303,                0.75232,                0.61424,                0.48013,                0.52234,                0.68749,                0.59871,                  0.464,                0.75313,                 1.5355,                 1.1242,                 1.3236,             0.00087019,             0.00087019,             0.00087019
                     82,                0.80443,                 1.4006,                 1.1877,                  1.282,                0.51859,                0.67873,                0.57266,                0.43185,                0.50563,                0.66332,                0.56082,                0.41776,                0.72766,                  1.564,                 1.1353,                  1.307,             0.00086312,             0.00086312,             0.00086312
                     83,                0.80299,                 1.4131,                 1.1842,                 1.2873,                0.52165,                0.73517,                0.60372,                0.46119,                0.52409,                0.72111,                0.59524,                 0.4453,                 0.7385,                 1.6573,                 1.1769,                 1.3165,             0.00085604,             0.00085604,             0.00085604
                     84,                0.80733,                 1.3915,                 1.1967,                 1.2784,                0.56811,                0.66513,                0.62913,                0.48964,                0.55482,                0.64967,                0.61296,                0.47038,                0.74911,                 1.5893,                 1.1057,                 1.3146,             0.00084897,             0.00084897,             0.00084897
                     85,                 0.7839,                 1.3852,                 1.1667,                  1.264,                0.50155,                0.77254,                0.60356,                 0.4695,                0.50045,                0.76133,                 0.5913,                 0.4605,                0.75397,                    1.6,                 1.1497,                 1.3204,              0.0008419,              0.0008419,              0.0008419
                     86,                0.81734,                 1.4331,                 1.1822,                 1.2881,                 0.5417,                0.73496,                0.61026,                0.47825,                0.53285,                0.72259,                0.59847,                0.47005,                 0.7625,                 1.6419,                 1.1148,                 1.3436,             0.00083482,             0.00083482,             0.00083482
                     87,                0.79601,                 1.3441,                 1.1786,                 1.2766,                0.53965,                0.71043,                0.57029,                0.44771,                0.50445,                 0.7306,                 0.5558,                0.43512,                0.77536,                 1.6328,                 1.1463,                 1.3238,             0.00082775,             0.00082775,             0.00082775
                     88,                0.79646,                 1.3505,                 1.1504,                 1.2819,                0.57706,                0.66913,                0.63637,                0.49544,                0.55854,                0.65926,                0.61611,                0.47097,                0.72349,                 1.6236,                 1.0844,                 1.2944,             0.00082067,             0.00082067,             0.00082067
                     89,                0.80867,                 1.4166,                 1.1691,                  1.289,                 0.5215,                0.73691,                0.61183,                0.47405,                0.51388,                0.72336,                0.60237,                0.46171,                0.78082,                  1.561,                 1.1458,                 1.3355,              0.0008136,              0.0008136,              0.0008136
                     90,                0.78501,                  1.293,                  1.114,                 1.2446,                0.55699,                0.73261,                0.64776,                0.49902,                 0.5493,                0.71697,                 0.6328,                0.48962,                 0.7491,                 1.6271,                 1.0843,                 1.3265,             0.00080653,             0.00080653,             0.00080653
                     91,                 0.7964,                 1.3516,                 1.1499,                 1.2671,                0.56377,                0.69349,                0.63405,                0.49396,                 0.5534,                0.68574,                0.62496,                0.47892,                0.74012,                  1.571,                 1.1281,                 1.3069,             0.00079945,             0.00079945,             0.00079945
                     92,                0.79949,                 1.3872,                 1.1637,                 1.2645,                0.60008,                0.67044,                 0.6273,                0.48331,                0.58852,                 0.6568,                0.61642,                0.47238,                0.75354,                 1.6614,                  1.086,                 1.3041,             0.00079238,             0.00079238,             0.00079238
                     93,                0.78142,                 1.3166,                  1.129,                 1.2667,                0.55901,                 0.7063,                0.61044,                0.47799,                 0.5437,                 0.6893,                0.58767,                 0.4566,                0.71641,                 1.5665,                 1.1244,                 1.2769,             0.00078531,             0.00078531,             0.00078531
                     94,                0.80535,                 1.3967,                  1.144,                 1.2637,                0.51916,                0.70239,                0.59807,                0.44905,                0.51155,                0.69603,                0.58551,                0.44633,                0.78288,                 1.6144,                 1.1146,                 1.3253,             0.00077823,             0.00077823,             0.00077823
                     95,                0.78149,                 1.4023,                 1.1361,                  1.261,                  0.571,                0.68032,                0.59817,                0.46316,                0.55003,                0.68126,                0.58812,                0.45788,                0.74932,                 1.5688,                 1.1057,                 1.3049,             0.00077116,             0.00077116,             0.00077116
                     96,                0.75167,                 1.2762,                 1.1023,                 1.2418,                0.58067,                0.65395,                0.60566,                0.47711,                0.57343,                0.64229,                0.59834,                0.46563,                0.74068,                 1.6056,                 1.1842,                 1.3113,             0.00076409,             0.00076409,             0.00076409
                     97,                0.77791,                 1.3068,                 1.1561,                 1.2587,                0.54504,                0.70022,                0.62869,                0.48694,                0.53292,                0.68653,                0.61203,                0.47629,                0.74722,                 1.6424,                 1.0827,                 1.3256,             0.00075701,             0.00075701,             0.00075701
                     98,                0.79445,                 1.3196,                 1.1475,                 1.2771,                0.54712,                0.71714,                0.60977,                0.48422,                0.53984,                 0.7105,                0.59947,                0.46519,                0.73297,                 1.5442,                 1.0652,                 1.3131,             0.00074994,             0.00074994,             0.00074994
                     99,                0.77677,                 1.3182,                  1.157,                 1.2651,                0.56024,                0.71401,                0.64336,                0.49163,                0.54327,                0.69701,                0.62645,                0.48065,                0.75348,                  1.589,                 1.0611,                 1.3206,             0.00074287,             0.00074287,             0.00074287
